INCLY,INCLZ,INCLX
1.9330434799,83.5705566406,-5.9321765899
1.552055931,83.9123840332,-5.9872608184
1.942695713,83.7489013671,-6.0432147979
2.1878204345,83.6158218383,-6.0233345031
2.0273339748,83.6878967285,-5.9799842834
1.9628418922,83.7495346069,-5.7459678649
2.1295847892,83.9152526855,-5.9596481323
1.8789421081,83.7947769165,-5.7879619598
2.0892710685,83.8897247314,-6.0463962554
2.1073546409,83.6399459838,-6.0768327713
1.8822546958,83.6818847656,-5.9741058349
2.183886528,83.6821594238,-6.0260167121
2.0144004821,83.6894912719,-5.9071993827
1.7842932701,83.8730163574,-5.8641748428
1.9698147773,83.8572769165,-6.0446977615
1.9663581848,83.6868972778,-6.1859474182
2.017512083,83.5365676879,-6.1675748825
1.8347881317,83.6089172363,-6.0416102409
2.069581747,83.6569061279,-5.8532357215
2.0251131057,83.8496704101,-5.6755661964
2.13047266,83.980934143,-6.0057110786
1.9534124374,83.7280197143,-5.9336133003
2.0741884708,83.7574920654,-6.1397604942
2.0521731376,83.5695037841,-6.1733489036
1.9546630859,83.5679397583,-5.8843450546
2.0536255836,83.8108520507,-6.0934133529
2.0639629364,83.6096649169,-5.8731508255
2.0093705654,83.8359909057,-6.1764736175
2.1007745265,83.5190582275,-6.1968631744
1.9348203659,83.551498413,-5.912984848
2.2550103664,83.7144012451,-5.8149247169
1.7675975799,83.9662322998,-5.8405790328
1.8666277885,83.9120635986,-5.7803740501
2.0603916645,83.9066848754,-6.011455059
2.1327679157,83.6644439697,-6.1337323188
1.9599738121,83.6040954589,-5.8010816574
2.2436375617,83.8230285644,-6.09344244
2.1551086902,83.5795974731,-5.9196977615
2.0836496353,83.7674789428,-5.884021759
1.8673748016,83.8704223632,-6.1275849342
1.9618372917,83.609375,-5.9130420684
1.9860516548,83.8057250976,-5.8251709938
1.8438156127,83.9337081909,-5.8504691123
2.0241584777,83.852607727,-5.8564357757
2.0036697387,83.8536682128,-5.9771199226
1.9298316001,83.762550354,-5.943862915
2.1097621917,83.735923767,-6.0319457054
1.7847395896,83.753326416,-6.0041546821
2.1749191284,83.6569900512,-5.9776983261
1.8446239471,83.787826538,-5.9978294372
1.7555222511,83.7943725585,-5.9107060432
1.9898563385,83.8067245483,-6.1391015052
2.1110167503,83.5510940551,-6.1572070121
