HRLM,TC,GSR,INCLY,INCLZ,INCLX
21,32.5625,505,0.0816724872,86.2305831909,-3.5857679843
21,32.5,511,-0.0407208013,86.4596481323,-3.5016977787
21,32.5,505,0.0953177356,86.5426559448,-3.5322322845
21,32.5625,505,0.1090347528,86.5117263793,-3.4992103576
21,32.5,511,0.027214303,86.5463333129,-3.6334953308
21,32.5,505,0.0409518432,86.4119262695,-3.6805284023
21,32.5625,505,-0.3257287502,86.350692749,-3.5254976749
,32.375,506,-0.2720686197,86.5096359252,-3.7063908576
,32.375,506,-0.1770205736,86.3350219726,-3.4786291122
,32.4375,506,-0.1908667182,86.5617752075,-3.6375768184
,32.375,506,-0.1906067371,86.4030685424,-3.6053788661
,32.5,506,0.1501252651,86.4371414184,-3.496715784
,32.3125,505,-0.1087797756,86.5472412109,-3.5483708381
,32.1875,505,-0.0272777366,86.497177124,-3.5421872138
,32.4375,510,-0.1646482849,86.4996261596,-3.6459882259
,32.4375,505,0.0815716266,86.3987426757,-3.4394469261
,32.4375,505,-0.136404252,86.6034927368,-3.4386355876
,32.5625,505,0.0818232059,86.6060333251,-3.6419110298
,32.375,505,-0.1226785778,86.4016647338,-3.4683365821
,32.5,505,0.0409396219,86.5770721435,-3.5016911029
,32.375,506,-0.1497848033,86.5407485961,-3.7285869121
,32.4375,506,-0.0135489416,86.3170394897,-3.5781362056
,32.5,510,-0.1501297378,86.4643554687,-3.5507829189
,32.5,505,-0.1781109571,86.4903869628,-3.6532003879
,32.4375,505,-0.0820388698,86.3915252685,-3.5866737365
,32.5,505,-0.1231260776,86.4568557739,-3.5534210205
,32.5,505,-0.1912158966,86.4870758056,-3.9897806167
,32.4375,505,0.0136060094,86.0558471679,-3.4789443016
,32.4375,505,-0.3938603591,86.5444259643,-3.6256763935
,32.4375,505,-0.3132908821,86.406425476,-3.3051059246
,32.3125,505,-0.0271874523,86.7404327392,-3.454714775
,32.5625,505,-0.0409402084,86.5906906127,-3.4522452354
,32.5,506,-0.109096014,86.5916748046,-3.6190011501
,32.5,505,-0.1364754915,86.4240646362,-3.6214294433
,32.4375,505,-0.0544213771,86.4238052368,-3.8540234565
,32.5625,505,0.0952574348,86.1904449462,-3.6171412467
,32.4375,511,0.0135892534,86.4284820556,-3.5475213527
,32.5625,505,-0.1090849285,86.4964447021,-3.4041125774
,32.4375,505,-0.1769101142,86.636932373,-3.6638679504
,32.4375,505,-0.2449997663,86.3735733032,-3.4219896793
,32.5,505,0.013679831,86.6236343383,-3.5645768642
,32.375,505,-0.0543859577,86.4806594848,-3.5117065906
,32.375,505,0.0136556839,86.5339126586,-3.6248598098
,32.5625,505,-0.1361822605,86.4182281494,-3.6778540611
,32.4375,511,-0.1366295576,86.3652496337,-3.4831500053
