HRLM,TC,GSR
,29.375,-462857.14285714325
,29.375,-460000.00000000035
,29.375,-463817.78741865547
,29.3125,-460000.00000000035
,29.375,-460948.27586206933
,29.3125,-463817.78741865547
,29.375,-460948.27586206933
,29.3125,-463817.78741865547
,29.3125,-460948.27586206933
,29.375,-460000.00000000035
,29.1875,-462857.14285714325
,29.3125,-463817.78741865547
,29.3125,-463817.78741865547
,29.3125,-464782.60869565257
,29.25,-460948.27586206933
,29.25,-463817.78741865547
,29.3125,-462857.14285714325
,29.3125,-460000.00000000035
,29.3125,-460000.00000000035
,29.25,-461900.64794816455
,29.375,-464782.60869565257
,29.25,-462857.14285714325
,29.375,-464782.60869565257
,29.4375,-463817.78741865547
,29.375,-461900.64794816455
,29.375,-460000.00000000035
,29.3125,-461900.64794816455
,29.25,-460000.00000000035
,29.4375,-460948.27586206933
,29.375,-464782.60869565257
,29.375,-462857.14285714325
,29.375,-463817.78741865547
,29.3125,-460948.27586206933
,29.3125,-462857.14285714325
,29.375,-459055.7939914167
,29.25,-462857.14285714325
,29.25,-461900.64794816455
,29.375,-461900.64794816455
,29.1875,-465751.63398692856
,29.25,-459055.7939914167
,29.25,-463817.78741865547
,29.3125,-464782.60869565257
,29.4375,-462857.14285714325
,29.375,-462857.14285714325
,29.375,-460948.27586206933
,29.3125,-462857.14285714325
,29.25,-463817.78741865547
,29.3125,-463817.78741865547
,29.25,-461900.64794816455
,29.375,-460948.27586206933
,29.375,-462857.14285714325
,29.375,-465751.63398692856
,29.3125,-463817.78741865547
,29.375,-462857.14285714325
,29.1875,-461900.64794816455
,29.375,-462857.14285714325
,29.4375,-464782.60869565257
,29.1875,-463817.78741865547
,29.5,-462857.14285714325
,29.375,-464782.60869565257
,29.3125,-460948.27586206933
,29.3125,-463817.78741865547
,29.375,-463817.78741865547
,29.375,-460000.00000000035
,29.25,-461900.64794816455
,29.25,-460948.27586206933
,29.25,-464782.60869565257
,29.25,-462857.14285714325
,29.3125,-463817.78741865547
,29.3125,-460948.27586206933
,29.25,-462857.14285714325
,29.5625,-461900.64794816455
,29.3125,-463817.78741865547
,29.375,-461900.64794816455
,29.3125,-465751.63398692856
,29.375,-463817.78741865547
,29.375,-462857.14285714325
,29.1875,-462857.14285714325
,29.375,-464782.60869565257
,29.1875,-462857.14285714325
,29.375,-460948.27586206933
,29.3125,-464782.60869565257
,29.375,-462857.14285714325
,29.1875,-462857.14285714325
,29.1875,-464782.60869565257
,29.4375,-463817.78741865547
,29.375,-460948.27586206933
,29.3125,-465751.63398692856
,29.3125,-462857.14285714325
,29.375,-462857.14285714325
,29.3125,-462857.14285714325
,29.3125,-463817.78741865547
,29.375,-463817.78741865547
,29.25,-461900.64794816455
,29.3125,-461900.64794816455
,29.375,-461900.64794816455
,29.3125,-461900.64794816455
,29.375,-462857.14285714325
,29.25,-462857.14285714325
,29.3125,-463817.78741865547
,29.3125,-460000.00000000035
,29.3125,-461900.64794816455
,29.25,-464782.60869565257
,29.375,-462857.14285714325
,29.25,-461900.64794816455
,29.3125,-460948.27586206933
,29.375,-461900.64794816455
,29.375,-462857.14285714325
,29.4375,-462857.14285714325
,29.25,-463817.78741865547
,29.375,-463817.78741865547
,29.375,-460948.27586206933
,29.3125,-464782.60869565257
,29.375,-462857.14285714325
,29.4375,-461900.64794816455
,29.3125,-461900.64794816455
,29.3125,-462857.14285714325
,29.375,-462857.14285714325
,29.3125,-465751.63398692856
,29.25,-465751.63398692856
,29.4375,-463817.78741865547
,29.25,-461900.64794816455
,29.375,-462857.14285714325
,29.3125,-463817.78741865547
,29.375,-460948.27586206933
,29.1875,-462857.14285714325
,29.25,-462857.14285714325
,29.3125,-461900.64794816455
,29.375,-462857.14285714325
,29.375,-462857.14285714325
,29.3125,-461900.64794816455
,29.3125,-461900.64794816455
,29.375,-462857.14285714325
,29.4375,-464782.60869565257
,29.4375,-463817.78741865547
,29.375,-461900.64794816455
,29.25,-464782.60869565257
,29.25,-463817.78741865547
,29.375,-463817.78741865547
,29.3125,-461900.64794816455
,29.1875,-463817.78741865547
,29.375,-462857.14285714325
,29.3125,-461900.64794816455
,29.3125,-465751.63398692856
,29.375,-462857.14285714325
,29.375,-463817.78741865547
,29.4375,-460000.00000000035
,29.375,-461900.64794816455
,29.3125,-465751.63398692856
,29.375,-461900.64794816455
,29.25,-460948.27586206933
,29.5,-462857.14285714325
,29.25,-463817.78741865547
,29.4375,-464782.60869565257
,29.375,-462857.14285714325
,29.3125,-464782.60869565257
,29.375,-460948.27586206933
,29.4375,-464782.60869565257
,29.25,-462857.14285714325
,29.375,-463817.78741865547
,29.4375,-463817.78741865547
,29.375,-460948.27586206933
,29.375,-461900.64794816455
,29.375,-464782.60869565257
,29.375,-464782.60869565257
,29.375,-460000.00000000035
,29.3125,-461900.64794816455
,29.375,-461900.64794816455
,29.25,-463817.78741865547
,29.3125,-461900.64794816455
,29.4375,-461900.64794816455
,29.375,-462857.14285714325
,29.3125,-461900.64794816455
,29.25,-460948.27586206933
,29.3125,-463817.78741865547
,29.25,-464782.60869565257
,29.3125,-462857.14285714325
,29.3125,-462857.14285714325
,29.25,-463817.78741865547
,29.375,-461900.64794816455
,29.375,-460948.27586206933
,29.5,-463817.78741865547
,29.375,-461900.64794816455
,29.3125,-462857.14285714325
,29.3125,-464782.60869565257
,29.3125,-461900.64794816455
,29.3125,-460000.00000000035
,29.4375,-460948.27586206933
,29.375,-460948.27586206933
,29.1875,-465751.63398692856
,29.3125,-465751.63398692856
,29.1875,-461900.64794816455
,29.375,-462857.14285714325
,29.375,-461900.64794816455
,29.25,-460948.27586206933
,29.5,-466724.89082969475
,29.3125,-464782.60869565257
,29.3125,-461900.64794816455
,29.25,-463817.78741865547
,29.3125,-462857.14285714325
,29.4375,-465751.63398692856
,29.4375,-461900.64794816455
,29.25,-460948.27586206933
,29.375,-459055.7939914167
,29.4375,-461900.64794816455
,29.3125,-462857.14285714325
,29.3125,-461900.64794816455
,29.375,-460000.00000000035
,29.4375,-462857.14285714325
,29.1875,-463817.78741865547
,29.4375,-462857.14285714325
,29.3125,-461900.64794816455
,29.1875,-462857.14285714325
,29.375,-461900.64794816455
,29.25,-463817.78741865547
,29.375,-466724.89082969475
,29.375,-460000.00000000035
,29.4375,-461900.64794816455
,29.375,-459055.7939914167
,29.3125,-460000.00000000035
,29.375,-462857.14285714325
,29.25,-460948.27586206933
,29.3125,-463817.78741865547
,29.4375,-461900.64794816455
,29.3125,-462857.14285714325
,29.3125,-461900.64794816455
,29.3125,-461900.64794816455
,29.4375,-463817.78741865547
,29.3125,-462857.14285714325
,29.375,-461900.64794816455
,29.3125,-461900.64794816455
,29.4375,-460000.00000000035
,29.3125,-463817.78741865547
,29.4375,-460948.27586206933
,29.3125,-461900.64794816455
,29.25,-465751.63398692856
,29.25,-463817.78741865547
,29.375,-464782.60869565257
,29.3125,-460000.00000000035
,29.375,-465751.63398692856
,29.4375,-463817.78741865547
,29.375,-463817.78741865547
,29.3125,-462857.14285714325
,29.375,-463817.78741865547
,29.4375,-464782.60869565257
,29.3125,-462857.14285714325
,29.375,-463817.78741865547
,29.375,-462857.14285714325
,29.25,-461900.64794816455
,29.375,-461900.64794816455
,29.3125,-464782.60869565257
,29.3125,-461900.64794816455
,29.3125,-463817.78741865547
,29.1875,-462857.14285714325
,29.375,-460948.27586206933
,29.25,-461900.64794816455
,29.375,-461900.64794816455
,29.375,-464782.60869565257
,29.375,-463817.78741865547
